B103 - MONDAY - 2018.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
week,00:00 - 00:29,00:30 - 00:59,01:00 - 01:29,01:30 - 01:59,02:00 - 02:29,02:30 - 02:59,03:00 - 03:29,03:30 - 03:59,04:00 - 04:29,04:30 - 04:59,05:00 - 05:29,05:30 - 05:59,06:00 - 06:29,06:30 - 06:59,07:00 - 07:29,07:30 - 07:59,08:00 - 08:29,08:30 - 08:59,09:00 - 09:29,09:30 - 09:59,10:00 - 10:29,10:30 - 10:59,11:00 - 11:29,11:30 - 11:59,12:00 - 12:29,12:30 - 12:59,13:00 - 13:29,13:30 - 13:59,14:00 - 14:29,14:30 - 14:59,15:00 - 15:29,15:30 - 15:59,16:00 - 16:29,16:30 - 16:59,17:00 - 17:29,17:30 - 17:59,18:00 - 18:29,18:30 - 18:59,19:00 - 19:29,19:30 - 19:59,20:00 - 20:29,20:30 - 20:59,21:00 - 21:29,21:30 - 21:59,22:00 - 22:29,22:30 - 22:59,23:00 - 23:29,23:30 - 23:59
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,50,12,6,38,39,38,0,0,0,0,21,0,0,0,0,0,18,19,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,29,0,26,43,45,74,40,87,116,96,105,116,108,140,175,163,117,58,58,32,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,48,0,70,86,20,163,135,96,113,111,51,90,108,58,87,168,215,197,153,213,178,185,99,0,18,58,58,58,56,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,19,60,14,23,41,91,136,163,154,74,87,52,102,125,112,142,118,132,116,86,58,58,58,47,19,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,94,40,29,40,93,89,93,61,58,9,60,58,45,67,98,37,29,20,29,29,29,29,2,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,30,50,94,26,29,54,318,293,139,199,222,277,224,251,208,182,216,201,197,192,172,62,58,58,58,58,52,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,45,76,45,45,61,42,69,145,92,51,37,152,101,184,197,147,174,207,199,119,118,104,87,87,87,55,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,39,89,148,145,149,324,320,293,250,87,67,107,121,228,274,305,275,304,256,226,200,189,156,28,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,3,64,97,106,77,275,333,280,242,349,277,112,90,231,321,331,328,348,271,122,116,111,58,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,45,113,82,113,134,264,398,330,266,397,364,244,277,349,318,344,346,342,294,205,195,156,116,135,170,116,104,82,29,14
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,27,13,29,23,148,160,138,67,108,80,72,94,286,286,267,242,234,261,283,250,211,197,220,175,96,87,78,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B103 - TUESDAY - 2018.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
